subband index,frequency (Hz),Avg Error %,Min Error %,Max Error %,Avg Error,Min Error,Max Error,Min Out,Max Out,Min Ref,Max Ref,Shift,Range Size %,Ref Range,Avg Err/Range,Min Err/Range,Max Err/Range
40,7.81E+06,1.31885,1.29E-05,7.90191,672.596,0.00390625,9348.09,19200,184320,19536.5,191070,3543.25,96.2610802,171533.5,0.3921076641,0.000002277251965,5.449716819
41,8.01E+06,5.49271,0.000697726,83.4968,30480.4,6.03125,738883,42240,1.19E+07,138986,1.25E+07,344073,9.60E+01,12380014,0.2462065067,0.00004871763473,5.968353509
42,8.20E+06,1.37013,0.00013817,7.2059,1757.96,0.0898438,18551,43264,354304,43366.8,367367,6582.9,95.99994074,324000.2,0.542579912,0.00002772955078,5.72561375
43,8.40E+06,2.13889,0,21.1806,8808.65,0,149305,110080,2.10E+06,111284,2.20E+06,53912,9.50E+01,2092486,0.4209657795,0,7.135292661
44,8.59E+06,2.11141,0.000179515,17.3571,27840.1,1.09375,539166,309248,7.44E+06,329601,7.82E+06,199391.5,9.52E+01,7487169,0.3718374729,0.00001460832526,7.201199813
45,8.79E+06,3.43906,0.00028483,49.6676,21542.4,0.875,420702,93184,5.51E+06,153023,5.82E+06,188314.5,9.55E+01,5668787,0.3800178063,0.00001543540091,7.421376037
46,8.98E+06,3.44537,0.00017835,32.977,23542.4,2.875,489139,190464,6.32E+06,227578,6.68E+06,196622,9.51E+01,6452772,0.3648416525,0.00004455449534,7.580292625
47,9.18E+06,6.4481,1.88E-05,119.859,2.85E+06,4,5.63E+07,2.06E+06,6.17E+08,9.84E+06,6.56E+08,2.37E+07,9.51E+01,646352420,4.41E-01,0.0000006188574338,8.71E+00
48,9.38E+06,5.46075,6.43E-05,59.8317,1.59E+06,7,3.29E+07,5.60E+06,3.80E+08,6.23E+06,4.02E+08,1.17E+07,9.44E+01,396087180,4.00E-01,0.000001767287697,8.32E+00
49,9.57E+06,1.68858,0.000267807,10.096,4581.57,0.671875,37949.7,153600,602112,155528,638904,19360,92.78739532,483376,0.9478273642,0.0001389963507,7.850969018
50,9.77E+06,4.36473,1.32E-05,70.0775,43901.3,0.0625,1.17E+06,131072,1.09E+07,328977,1.18E+07,501852.5,9.47E+01,11421323,0.3843801633,0.0000005472220688,1.03E+01
51,9.96E+06,3.34711,0.00220321,47.4095,55259.9,9.65625,1.07E+06,356352,1.10E+07,396608,1.18E+07,427928,9.32E+01,11428992,0.483506332,0.0000844890783,9.36E+00
52,1.02E+07,4.18093,0.000590419,76.6423,1.69E+06,154,3.04E+07,5.01E+06,3.19E+08,9.79E+06,3.40E+08,1.30E+07,9.50E+01,330113090,5.11E-01,0.00004665067962,9.21E+00
53,1.04E+07,5.87954,0.000429505,60.1714,1.78E+06,76,2.74E+07,4.59E+06,2.36E+08,7.48E+06,2.58E+08,1.25E+07,9.23E+01,250606790,7.08E-01,0.00003032639299,1.09E+01
54,1.05E+07,1.63145,0.000110426,6.88304,5453.82,0.34375,41434.2,225280,581632,226018,610564,14835,92.66823735,384546,1.418249052,0.00008939112616,10.77483578
55,1.07E+07,2.61969,0.000287901,26.6208,13871.9,0.9375,282410,222208,2.51E+06,266476,2.71E+06,125924,9.33E+01,2447854,0.5666963798,0.00003829885279,11.53704428
56,1.09E+07,2.11073,0.000104904,9.58301,11044.7,0.34375,124471,270336,1.27E+06,278421,1.37E+06,54887.5,9.14E+01,1093029,1.010467243,0.00003144930281,11.38771249
57,1.11E+07,8.61054,0.00043491,142.857,6.19E+06,472,1.62E+08,-1.23E+07,1.29E+09,1.59E+07,1.42E+09,7.69E+07,9.30E+01,1401649900,4.42E-01,0.0000336746002,1.16E+01
58,1.13E+07,8.37259,0.000926164,125.616,592158,61,1.39E+07,-720896,1.16E+08,1.61E+06,1.26E+08,6.42E+06,9.34E+01,124774650,0.4745819764,0.00004888813553,1.11E+01
59,1.15E+07,9.17137,0.000670466,191.946,6.33E+06,232,1.43E+08,-1.76E+07,1.17E+09,1.61E+07,1.28E+09,6.84E+07,9.45E+01,1261313500,5.02E-01,0.00001839352389,1.14E+01
60,1.17E+07,2.22081,2.99E-05,13.4078,10403.7,0.09375,132847,253952,1.27E+06,259025,1.38E+06,55656.5,9.09E+01,1116975,0.9314174444,0.000008393204861,11.89346225
61,1.19E+07,2.38055,0.000446403,11.7635,14521.2,1.71875,220366,280576,1.98E+06,294559,2.16E+06,94051.5,9.14E+01,1862021,0.7798623109,0.00009230561847,11.83477523
62,1.21E+07,8.84115,0.00031851,185.481,218934,5.375,5.72E+06,-770048,4.17E+07,654280,4.65E+07,3135964,9.25E+01,45874220,0.4772484415,0.00001171682047,1.25E+01
63,1.23E+07,2.09526,5.34E-05,15.3636,7157.89,0.15625,68156.6,206848,823296,226537,887357,41875,93.28531219,660820,1.083183015,0.00002364486547,10.31394328
64,1.25E+07,4.03841,0.00107476,35.6999,37766.5,4.46875,716613,282624,5.54E+06,338554,6.11E+06,311910,9.11E+01,5767126,0.6548582431,0.00007748660251,12.42582527
65,1.27E+07,3.06468,0.000470953,13.5862,26182.3,2.34375,320253,401408,2.44E+06,407581,2.74E+06,152631.5,8.74E+01,2332729,1.12238927,0.0001004724509,13.7286843
66,1.29E+07,8.62487,0.00119131,98.7672,2.97E+06,292,7.82E+07,290816,4.89E+08,9.39E+06,5.49E+08,3.49E+07,9.04E+01,539977320,5.49E-01,0.00005407634528,1.45E+01
67,1.31E+07,6.18211,0.000249423,59.6367,133003,4.25,3.05E+06,638976,2.10E+07,723110,2.35E+07,1317017,8.92E+01,22798290,0.5833902455,0.00001864174901,1.34E+01
68,1.33E+07,2.05909,0.000366212,8.71425,6151.56,0.84375,43543.2,178176,487424,176880,521192,16236,89.8162132,344312,1.78662376,0.0002450539046,12.64643695
69,1.35E+07,5.7539,0.000924767,68.7607,159231,15.375,2.71E+06,448512,1.98E+07,969367,2.22E+07,1484627.5,9.09E+01,21270933,0.7485849351,0.00007228173771,1.27E+01
70,1.37E+07,9.70219,0.00196059,182.845,1.74E+07,1544,4.81E+08,-6.42E+07,3.07E+09,5.07E+07,3.46E+09,2.54E+08,9.19E+01,3412102700,5.10E-01,0.00004525068955,1.41E+01
71,1.39E+07,5.84436,0.00103281,93.7546,64136.8,4.84375,1.60E+06,35584,9.57E+06,407138,1.07E+07,774497,9.22E+01,10338562,0.6203648051,0.00004685129325,1.55E+01
72,1.41E+07,9.76604,0.00362458,143.016,2.46E+07,4808,6.58E+08,-5.77E+07,4.08E+09,8.49E+07,4.61E+09,3.36E+08,9.14E+01,4521988500,5.45E-01,0.0001063249055,1.46E+01
73,1.43E+07,10.0994,0.000885986,160.359,457303,36,1.17E+07,-1.26E+06,6.82E+07,1.25E+06,7.83E+07,6.35E+06,9.01E+01,77083450,0.593257048,0.00004670263202,1.51E+01
74,1.45E+07,10.1375,0.000288429,193.686,275801,3.875,6.98E+06,-905216,4.25E+07,905061,4.81E+07,3738288.5,9.18E+01,47228539,0.5839710604,0.000008204784823,1.48E+01
75,1.46E+07,10.039,0.000117375,209.97,7.02E+06,60,1.65E+08,-2.67E+07,1.13E+09,1.74E+07,1.29E+09,1.00E+08,9.11E+01,1271903900,5.52E-01,0.000004717337528,1.30E+01
76,1.48E+07,12.1393,0.00072783,179.689,1.43E+07,456,3.92E+08,-5.48E+07,2.43E+09,3.75E+07,2.79E+09,2.25E+08,9.03E+01,2753490400,5.18E-01,0.00001656079861,1.42E+01
77,1.50E+07,7.68507,0.000201214,109.826,792649,12,1.54E+07,-397312,9.44E+07,3.38E+06,1.08E+08,8.54E+06,9.09E+01,104284050,0.7600865137,0.00001150703295,1.47E+01
78,1.52E+07,6.5564,0.000237906,64.4165,364701,7.25,5.72E+06,1.16E+06,3.57E+07,1.91E+06,4.07E+07,2.92E+06,8.88E+01,38829700,0.9392320827,0.00001867127482,1.47E+01
79,1.54E+07,7.8829,0.000450597,102.232,748722,22,1.38E+07,-105472,8.65E+07,2.78E+06,9.86E+07,7.49E+06,9.04E+01,95838100,0.7812362724,0.00002295537996,1.44E+01
80,1.56E+07,4.44323,0.000798776,36.9192,121986,9.75,2.01E+06,864256,1.35E+07,831032,1.55E+07,962138,8.64E+01,14626868,0.8339857856,0.00006665815265,1.37E+01
81,1.58E+07,10.9205,9.81E-05,183.594,9.37E+06,36,2.24E+08,-1.56E+07,1.41E+09,2.76E+07,1.62E+09,1.27E+08,8.95E+01,1592907500,5.88E-01,0.000002260018237,1.41E+01
82,1.60E+07,11.795,0.000473218,201.913,2.01E+06,49,4.59E+07,-2.56E+06,2.85E+08,5.53E+06,3.26E+08,2.47E+07,8.97E+01,320926980,6.27E-01,0.00001526827068,1.43E+01
83,1.62E+07,11.8586,0.000600861,183.305,3.32E+06,152,7.51E+07,-6.32E+06,4.51E+08,8.09E+06,5.18E+08,4.06E+07,8.97E+01,509504530,6.52E-01,0.00002983290453,1.47E+01
84,1.64E+07,4.74359,4.31E-05,63.9944,25488.9,0.109375,556836,105472,3.36E+06,244587,3.86E+06,320172.5,9.00E+01,3615363,0.7050163428,0.000003025284045,15.40193889
85,1.66E+07,11.8977,0.000200115,194.234,332995,6,8.69E+06,-1.52E+06,4.85E+07,884546,5.59E+07,4.92E+06,9.09E+01,55042254,0.6049806754,0.00001090071638,1.58E+01
86,1.68E+07,12.9272,4.59E-05,245.402,2.13E+08,512,4.73E+09,-9.69E+08,2.86E+10,5.42E+08,3.30E+10,2.97E+09,9.10E+01,32483001000,6.54E-01,0.000001576209045,1.46E+01
87,1.70E+07,6.41942,0.00103938,70.6647,40704.5,4.40625,707804,102912,4.26E+06,286074,4.87E+06,396966,9.07E+01,4584536,0.887865206,0.00009611114407,15.43894518
88,1.72E+07,3.83945,0.000140851,26.1208,13267.2,0.375,122848,193536,1.06E+06,215432,1.18E+06,68178,9.04E+01,963988,1.376282692,0.00003890089918,12.7437271
89,1.74E+07,14.6047,0.000716087,312.735,794627,26.75,1.91E+07,-4.78E+06,1.09E+08,1.96E+06,1.27E+08,1.21E+07,9.14E+01,124573550,0.6378777838,0.00002147325817,1.53E+01
90,1.76E+07,10.8268,0.000214697,133.931,3.72E+07,448,6.14E+08,-6.50E+07,3.52E+09,1.28E+08,4.09E+09,3.78E+08,9.07E+01,3957498000,9.40E-01,0.00001132028367,1.55E+01
91,1.78E+07,15.8608,0.00318312,344.717,1.43E+07,1552,3.65E+08,-1.01E+08,2.18E+09,3.18E+07,2.53E+09,2.40E+08,9.14E+01,2496203300,5.74E-01,0.00006217442305,1.46E+01
92,1.80E+07,15.854,0.000208412,377.468,913912,9,2.42E+07,-6.78E+06,1.38E+08,2.06E+06,1.62E+08,1.60E+07,9.10E+01,159516010,0.5729280716,0.0000056420669,1.52E+01
93,1.82E+07,10.2237,0.00070126,194.512,549549,27,1.52E+07,-2.15E+06,8.44E+07,2.08E+06,9.78E+07,8.81E+06,9.04E+01,95720910,0.5741159377,0.00002820700305,1.58E+01
94,1.84E+07,3.97525,0.000903798,29.4343,12144.6,2.40625,146363,145408,1.00E+06,184419,1.12E+06,79835.5,9.13E+01,939761,1.292307299,0.0002560491444,15.57449181
95,1.86E+07,6.06526,0.000416905,89.7207,29753.3,1.5625,782988,33024,3.93E+06,221869,4.58E+06,418897.5,8.94E+01,4359241,0.6825339549,0.00003584339567,17.96156716
96,1.88E+07,4.14233,0.000314153,25.6839,13110.5,0.875,151950,156672,995328,181574,1.13E+06,77352,8.89E+01,943556,1.389477678,0.00009273429452,16.10397263
97,1.89E+07,4.95831,3.37E-05,27.9763,19935.2,0.09375,198718,187392,1.26E+06,227806,1.45E+06,112907,8.81E+01,1219164,1.635153269,0.000007689695562,16.29952984
98,1.91E+07,5.66298,0.000558495,79.6038,22213.2,1.75,512056,48128,2.80E+06,200109,3.28E+06,315090.5,8.94E+01,3079751,0.7212661024,0.00005682277561,16.62653896
99,1.93E+07,6.78804,0.000574966,105.755,32301.3,1.625,878244,-16896,4.55E+06,235521,5.35E+06,526193.5,8.93E+01,5119199,0.63098348,0.00003174324733,17.15588708
100,1.95E+07,3.83724,0.000238418,33.0939,10894,0.875,167678,130048,991232,173305,1.14E+06,94067.5,8.94E+01,962805,1.131485607,0.00009088029248,17.41557221
101,1.97E+07,3.66275,3.10E-05,35.6714,10368.8,0.078125,172157,119808,1.01E+06,169767,1.16E+06,102114.5,8.95E+01,992123,1.04511235,0.000007874527654,17.35238473
102,1.99E+07,4.31526,8.82E-05,35.4749,12861.2,0.203125,178796,134144,1.00E+06,183330,1.16E+06,104263,8.88E+01,979530,1.31299705,0.00002073698611,18.2532439
103,2.01E+07,5.47315,0.00227129,59.0324,21174.5,6.09375,429941,117248,2.61E+06,203678,3.03E+06,257990,8.79E+01,2830932,0.74796922,0.0002152559652,15.18725988
104,2.03E+07,3.45246,2.11E-05,36.0958,8983.78,0.046875,156522,111104,929792,159843,1.07E+06,94288.5,9.00E+01,909787,0.9874597021,0.00000515230488,17.20424671
105,2.05E+07,3.574,0.000166328,30.9489,9653.34,0.359375,135178,126464,860160,165467,988936,83889.5,89.09819313,823469,1.172277281,0.00004364159428,16.41567564
106,2.07E+07,3.32255,2.79E-05,31.9924,8135.31,0.046875,129119,121344,798720,157501,916896,77166.5,89.19942849,759395,1.071288328,0.000006172676934,17.00287729
107,2.09E+07,2.72677,7.41E-06,32.5751,6120.45,0.015625,122775,108544,770048,142550,881423,72690.5,89.52878235,738873,0.8283493916,0.000002114707128,16.61652273
108,2.11E+07,8.58231,4.73E-05,117.11,58899.8,0.25,1.41E+06,-80896,7.67E+06,339017,9.03E+06,890456.5,8.92E+01,8689693,0.6778122081,0.000002876971603,1.62E+01
109,2.13E+07,5.62382,0.000537284,75.0872,17961.5,1.5625,395934,50432,2.28E+06,175083,2.67E+06,257310.5,8.94E+01,2492267,0.7206892359,0.00006269392485,15.88650012
110,2.15E+07,18.2543,0.000257998,443.731,1.45E+06,17.5,3.90E+07,-9.44E+06,1.98E+08,2.88E+06,2.34E+08,2.40E+07,8.99E+01,230958850,6.29E-01,0.000007577107351,1.69E+01
111,2.17E+07,15.5658,0.000170808,225.321,2.21E+07,120,7.30E+08,-1.34E+08,3.44E+09,4.76E+07,4.12E+09,4.32E+08,8.77E+01,4073706500,5.42E-01,0.000002945720316,1.79E+01
112,2.19E+07,16.453,0.000284678,235.454,6.25E+06,50,2.10E+08,-4.17E+07,9.44E+08,1.16E+07,1.14E+09,1.24E+08,8.75E+01,1126379600,5.54E-01,0.000004439000848,1.87E+01
113,2.21E+07,2.82347,0.000264094,39.198,5935.17,0.421875,133873,97792,827392,131510,953691,80008.5,88.73958411,822181,0.7218811916,0.00005131169414,16.28266769
114,2.23E+07,2.71449,0.00027194,35.8653,5458.66,0.5625,121144,103936,712704,135822,819962,69572,88.9829567,684140,0.7978863975,0.00008222001345,17.70748677
115,2.25E+07,6.63934,0.00060586,108.24,22562.9,1.6875,663112,-21120,3.19E+06,178746,3.83E+06,419373,8.80E+01,3655014,0.6173136409,0.0000461694538,18.14252969
116,2.27E+07,2.30697,0.00017049,28.8687,4270.36,0.3125,83220.1,106496,532480,124940,608865,47414.5,88.02686367,483925,0.8824425273,0.00006457612233,17.19690035
117,2.29E+07,2.31602,0.000224969,27.2919,4279.7,0.359375,82144.3,109056,528384,131492,604961,49506.5,88.56503805,473469,0.9039028954,0.00007590254061,17.34945688
118,2.30E+07,6.12543,0.000278534,104.031,18362.3,0.71875,573906,20736,2.65E+06,165376,3.18E+06,336020,8.73E+01,3016234,0.6087823425,0.00002382938459,19.02723728
119,2.32E+07,1.63716,0.000115403,17.8639,2725.45,0.140625,45481.8,110592,342016,117168,383339,23949.5,86.94561015,266171,1.023947012,0.00005283257755,17.08743627
120,2.34E+07,2.15133,0.000133071,24.2957,3791.09,0.234375,68526.6,112640,440320,125596,502614,37625,86.91362216,377018,1.005546154,0.0000621654669,18.17594916
121,2.36E+07,1.73975,0.000216437,16.9036,2932.29,0.3125,44147,115712,333824,123405,375088,24478.5,86.66139549,251683,1.16507273,0.0001241641271,17.5407159
122,2.38E+07,1.9865,8.31E-05,17.2037,3467.95,0.171875,44200.2,116736,333824,121565,374754,22879.5,85.74148166,253189,1.369708005,0.00006788407079,17.45739349
123,2.40E+07,1.7517,0.000394103,17.417,2947.19,0.609375,44229.1,116736,325632,123093,365556,23140.5,86.15582584,242463,1.215521543,0.0002513270066,18.24158738
124,2.42E+07,1.68392,0.000123055,15.5053,2784.46,0.15625,39211,118784,305152,120307,339928,18149.5,84.85891604,219621,1.267847792,0.00007114529121,17.85393929
125,2.44E+07,1.54772,3.94E-05,16.0083,2526.14,0.0625,39683,115200,301056,116848,336754,18673,84.51611143,219906,1.148736278,0.00002842123453,18.0454376
126,2.46E+07,2.09344,0.000617411,32.6642,3726.05,1.09375,84574.7,107008,507904,123371,587314,47886.5,86.4106151,463943,0.8031266772,0.0002357509435,18.22954544
127,2.48E+07,1.54167,0.000123055,14.9691,2526.42,0.15625,36402.9,116224,288768,117380,321487,16937.5,84.53605217,204107,1.237791942,0.00007655298446,17.83520408
128,2.50E+07,10.9301,1.02E-05,204.729,47351.2,0.03125,1.72E+06,-339968,6.95E+06,169410,8.56E+06,1060114,8.69E+01,8388260,0.5644937091,0.0000003725444848,2.05E+01
129,2.52E+07,2.1279,0.000371158,24.6451,3819.45,0.703125,71765.5,121856,454656,124651,520450,34294.5,84.08308257,395799,0.964997385,0.0001776469875,18.13180427
130,2.54E+07,1.40927,0.000139821,11.9834,2291.06,0.179688,28616.5,118784,254976,117589,281327,12578,83.17678242,163738,1.399223149,0.0001097411719,17.47700595
131,2.56E+07,1.35427,0.000177427,12.5179,2179.22,0.3125,29534.6,115712,256000,115488,284522,14149,82.99395388,169034,1.28921992,0.000184874049,17.47257948
132,2.58E+07,1.48051,0.000568468,12.295,2372.64,1.04688,31177.1,117760,248832,116811,275280,12749.5,82.71144514,158469,1.497226587,0.0006606213203,19.67394254
133,2.60E+07,1.60229,0.000336695,17.1576,2656.82,0.703125,37144.9,116224,301056,118918,338201,19919.5,84.28925179,219283,1.21159415,0.0003206472914,16.93925202
134,2.62E+07,2.59073,2.32E-05,50.3368,4650.11,0.046875,134696,86016,630784,120993,752005,78099,86.33243108,631012,0.7369289332,0.000007428543356,21.34602828
135,2.64E+07,2.61538,7.52E-05,54.6223,4851.6,0.109375,143469,81920,700416,127673,835599,90468,87.3673237,707926,0.6853258674,0.00001545006116,20.26610126
136,2.66E+07,1.59636,2.63E-05,9.98543,2600.49,0.046875,24309,120832,254976,120062,259599,1926.5,96.13507528,139537,1.863656235,0.0000335932405,17.42118578
137,2.68E+07,4.4859,0.000101206,93.1503,9559.92,0.203125,317028,36608,1.48E+06,129530,1.79E+06,200881,8.70E+01,1662060,0.5751850114,0.00001222127962,19.07440165
138,2.70E+07,1.40123,1.27E-05,7.68245,2259.91,0.015625,14997.8,119296,257024,118839,261721,2120,96.39282765,142882,1.581661791,0.00001093559721,10.49663359
139,2.71E+07,4.29616,0.000213623,68.5576,9458.68,0.4375,233648,78848,1.23E+06,146754,1.46E+06,148913,8.77E+01,1311966,0.7209546589,0.00003334690076,17.8089981
140,2.73E+07,2.10698,0,40.708,3671.44,0,104042,99328,524288,119213,622186,58891.5,84.48962469,502973,0.7299477308,0,20.68540458
141,2.75E+07,1.17011,0.000164325,5.08865,1870.52,0.21875,8999.23,117248,260096,116926,265202,2392,96.33925922,148276,1.261512315,0.0001475289325,6.069242494
142,2.77E+07,1.23525,0.000535393,7.53526,1996,0.9375,14080.2,117760,262144,118566,267359,3010.5,97.03682297,148793,1.341460956,0.000630069963,9.462945165
143,2.79E+07,1.25569,0.000251095,8.17752,2050.08,0.40625,16688.7,118784,264192,119127,269913,3032,96.43335588,150786,1.359595718,0.0002694215643,11.0678047
144,2.81E+07,1.09199,2.99E-05,5.00112,1778.82,0.0390625,10046.7,117248,264192,117251,271449,3630,95.29565883,154198,1.153594729,0.00002533268914,6.515454156
145,2.83E+07,1.26417,0.000282569,8.26019,2087.73,0.4375,17794.7,120832,270336,120490,276042,2682,96.11191113,155552,1.34214282,0.0002812564287,11.43971148
146,2.85E+07,1.06104,0.000732417,4.86384,1743.91,1.125,9783.25,117760,270336,118124,276132,3080,96.56219938,158008,1.103684624,0.0007119892664,6.19161688
147,2.87E+07,1.2911,0.00022682,7.98699,2154.84,0.34375,17332.8,121344,274432,121538,280628,3195,96.22729273,159090,1.354478597,0.0002160726633,10.89496511
148,2.89E+07,1.18286,1.75E-05,6.81855,1975.57,0.03125,12588.4,120832,274432,121045,281753,3767,95.57707146,160708,1.229291635,0.00001944520497,7.833088583
149,2.91E+07,1.05483,0.000107288,4.90295,1762.05,0.140625,10222.4,119296,274432,120147,282285,4352,95.68145654,162138,1.086759427,0.00008673167302,6.304752741
