subband index,frequency (Hz),Avg Error %,Min Error %,Max Error %,Avg Error,Min Error,Max Error,Min Out,Max Out,Min Ref,Max Ref,Shift,Range Size %,Ref Range,Avg Err/Range,Min Err/Range,Max Err/Range
0,0,0.61203,0.612012,0.612012,3.41E+08,3.41E+08,3.41E+08,5.53E+10,5.53E+10,5.56E+10,5.56E+10,3.41E+08,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!
1,195312,0.75984,0.753144,0.766147,186.208,184.555,187.766,24320,24320,24504.6,24507.8,186.2,0,3.2,5819,5767.34375,5867.6875
2,390625,0.616807,0.591427,0.638384,107.246,102.807,111.021,17280,17280,17382.8,17391,106.9,0,8.2,1307.878049,1253.743902,1353.914634
3,585938,0.434273,0.320411,0.533663,66.4416,48.9619,81.7236,15232,15232,15281,15313.7,65.35,0,32.7,203.1853211,149.730581,249.9192661
4,781250,0.717653,0.66718,0.737744,102.702,95.4297,105.598,14208,14208,14303.4,14313.6,100.5,0,10.2,1006.882353,935.5852941,1035.27451
5,976562,0.691267,0.628467,0.748221,96.2274,87.4287,104.214,13824,13824,13911.4,13928.2,95.8,0,16.8,572.7821429,520.4089286,620.3214286
6,1.17E+06,0.770898,0.372455,0.877722,106.463,51.4414,121.277,13696,13760,13803.7,13817.3,82.5,470.5882353,13.6,782.8161765,378.2455882,891.7426471
7,1.37E+06,0.535259,0.440133,0.972376,74.0237,60.8301,134.484,13696,13760,13820.8,13834.7,99.75,460.4316547,13.9,532.5446043,437.6266187,967.5107914
8,1.56E+06,0.856668,0.438346,0.911848,119.457,61.1455,127.214,13824,13888,13939.2,13951.9,89.55,503.9370079,12.7,940.6062992,481.4606299,1001.685039
9,1.76E+06,0.812175,0.306844,0.883105,114.256,43.1396,124.309,13952,14016,14053.4,14076.3,80.85,279.4759825,22.9,498.9344978,188.3825328,542.8340611
10,1.95E+06,0.629665,0.459774,1.04823,89.1719,65.0352,148.476,14016,14080,14145,14173,111,228.5714286,28,318.4710714,232.2685714,530.2714286
11,2.15E+06,0.518298,0.305565,0.914447,73.612,43.3516,129.942,14080,14144,14180.8,14218,87.4,172.0430108,37.2,197.8817204,116.5365591,349.3064516
12,2.34E+06,0.75188,0.3778,1.02111,106.788,53.6387,145.255,14080,14144,14155.9,14226.1,79,91.16809117,70.2,152.1196581,76.40840456,206.9159544
13,2.54E+06,0.678002,0.365683,1.04038,96.1131,51.9121,147.353,14016,14144,14139.4,14198.7,89.05,215.851602,59.3,162.0794266,87.54148398,248.4873524
14,2.73E+06,0.694488,0.484625,1.03114,97.9779,68.2559,145.363,13952,14016,14071.8,14128.4,116.1,113.0742049,56.6,173.1058304,120.5934629,256.8250883
15,2.93E+06,0.513485,0.22128,0.873605,71.9052,30.9414,122.396,13888,13952,13982.5,14019.4,80.95,173.4417344,36.9,194.8650407,83.85203252,331.696477
16,3.13E+06,0.617852,0.47074,0.941371,85.9381,65.3828,130.764,13760,13824,13885.2,13923.8,112.5,165.8031088,38.6,222.6375648,169.3854922,338.7668394
17,3.32E+06,0.703636,0.323536,0.98861,97.1923,44.6631,136.752,13696,13760,13790.9,13840.8,87.85,128.256513,49.9,194.7741483,89.50521042,274.0521042
18,3.52E+06,0.651592,0.399381,1.08237,88.9939,54.4053,147.763,13504,13568,13622.4,13682.9,116.65,105.785124,60.5,147.0973554,89.9261157,244.2363636
19,3.71E+06,0.697482,0.481591,0.848695,94.4075,65.0391,115.041,13440,13440,13505,13555,90,0,50,188.815,130.0782,230.082
20,3.91E+06,0.760708,0.342612,1.0846,102.114,45.9854,145.965,13312,13376,13391.8,13458,80.9,96.67673716,66.2,154.2507553,69.46435045,220.4909366
21,4.10E+06,0.593822,0.42675,1.04001,78.7623,56.5039,137.884,13120,13184,13240.5,13280.3,108.4,160.8040201,39.8,197.8952261,141.969598,346.4422111
22,4.30E+06,0.635369,0.494182,0.773021,83.4912,64.8408,101.712,13056,13056,13120.8,13157.7,83.25,0,36.9,226.2634146,175.7203252,275.6422764
23,4.49E+06,0.549821,0.452714,0.995551,71.4698,58.793,129.355,12864,12928,12986.8,13020.5,107.65,189.9109792,33.7,212.0765579,174.4599407,383.84273
24,4.69E+06,0.626969,0.498079,1.16864,80.7555,64.0732,150.598,12736,12800,12864.1,12894.4,111.25,211.2211221,30.3,266.519802,211.4627063,497.0231023
25,4.88E+06,0.741667,0.503459,1.12226,94.6518,64.1211,143.101,12608,12672,12719.6,12778.5,109.05,108.6587436,58.9,160.6991511,108.8643463,242.9558574
26,5.08E+06,0.864491,0.384386,1.08282,109.458,48.6504,137.316,12544,12608,12639.3,12683.6,85.45,144.469526,44.3,247.0835214,109.820316,309.9683973
27,5.27E+06,0.668284,0.513906,1.0768,83.965,64.4668,135.15,12416,12480,12544.5,12580.2,114.35,179.2717087,35.7,235.1960784,180.5792717,378.5714286
28,5.47E+06,0.797248,0.30449,1.05843,99.3671,37.9209,132.136,12352,12416,12443.4,12485.9,80.65,150.5882353,42.5,233.8049412,89.22564706,310.9082353
29,5.66E+06,0.701043,0.420231,1.18335,86.734,52.126,146.385,12224,12352,12346.4,12405.6,88,216.2162162,59.2,146.5101351,88.05067568,247.2719595
30,5.86E+06,0.844043,0.408791,1.18255,103.683,50.1758,145.519,12160,12224,12265.1,12315,98.05,128.256513,49.9,207.7815631,100.5527054,291.6212425
31,6.05E+06,0.745536,0.282914,1.06741,91.0263,34.5,130.507,12096,12160,12187.4,12228.4,79.9,156.097561,41,222.0153659,84.14634146,318.3097561
32,6.25E+06,0.904879,0.32882,1.1357,109.939,39.9053,138.217,12032,12096,12123.6,12171.6,83.6,133.3333333,48,229.0395833,83.13604167,287.9520833
33,6.45E+06,0.769401,0.249274,1.27002,94.8556,31.667,167.946,11968,13504,12092,13599.7,109.85,101.8770312,1507.7,6.291410758,2.100351529,11.13921868
34,6.64E+06,0.835732,0.323481,1.04532,100.386,38.8398,125.749,11904,11968,11990.6,12034.1,76.35,147.1264368,43.5,230.7724138,89.28689655,289.0781609
35,6.84E+06,0.769038,0.188458,1.4095,94.9357,22.8389,195.805,11904,13952,12001.6,14044.5,95.05,100.2496451,2042.9,4.647104606,1.117964658,9.584659063
36,7.03E+06,0.638017,7.44E-06,1.76452,92.4062,0.000976562,360.967,12544,21120,12606.7,21243.2,92.95,99.29948474,8636.5,1.069949632,0.00001130738146,4.179551902
37,7.23E+06,0.664818,0.00328838,1.41351,86.6216,0.420898,223.089,11968,16320,12060.1,16443.6,107.85,99.28139614,4383.5,1.976083039,0.009601870651,5.089289381
38,7.42E+06,0.73759,0.137172,1.25278,90.7237,17.4062,165.42,11840,14464,11914.5,14546.9,78.7,99.68089956,2632.4,3.446425315,0.6612292965,6.283999392
39,7.62E+06,1.05156,0.000131866,6.92887,238.786,0.0205078,3998.82,13952,79360,14153,82377.2,1609.1,95.87213921,68224.2,0.3500019055,0.00003005942173,5.861292621
