subband index,frequency (Hz),Avg Error %,Min Error %,Max Error %,Avg Error,Min Error,Max Error,Min Out,Max Out,Min Ref,Max Ref,Shift,Range Size %,Ref Range,Avg Err/Range,Min Err/Range,Max Err/Range
0,0,0.61203,0.612012,0.612012,3.41E+08,3.41E+08,3.41E+08,5.53E+10,5.53E+10,5.56E+10,5.56E+10,3.41E+08,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!
1,195312,1.80447,1.79785,1.81071,442.208,440.555,443.766,24064,24064,24504.6,24507.8,442.2,0,3.2,13819,13767.34375,13867.6875
2,390625,2.08915,2.06415,2.11041,363.246,358.807,367.021,17024,17024,17382.8,17391,362.9,0,8.2,4429.829268,4375.695122,4475.865854
3,585938,2.10765,1.9957,2.20537,322.442,304.962,337.724,14976,14976,15281,15313.7,321.35,0,32.7,986.0611621,932.6055046,1032.795107
4,781250,2.04191,1.61315,2.07913,292.211,230.855,297.598,14016,14080,14303.4,14313.6,260.5,627.4509804,10.2,2864.813725,2263.284314,2917.627451
5,976562,1.6109,1.54857,2.02104,224.242,215.429,281.191,13632,13696,13911.4,13928.2,255.8,380.952381,16.8,1334.77381,1282.315476,1673.755952
6,1.17E+06,1.75548,1.70772,1.80411,242.44,235.729,249.279,13568,13568,13803.7,13817.3,242.5,0,13.6,1782.647059,1733.301471,1832.933824
7,1.37E+06,1.89148,1.44102,1.92781,261.584,199.312,266.707,13568,13632,13820.8,13834.7,227.75,460.4316547,13.9,1881.899281,1433.899281,1918.755396
8,1.56E+06,1.78124,1.74464,1.83426,248.383,243.188,255.914,13696,13696,13939.2,13951.9,249.55,0,12.7,1955.771654,1914.866142,2015.070866
9,1.76E+06,1.73256,1.63246,1.79243,243.734,229.417,252.309,13824,13824,14053.4,14076.3,240.85,0,22.9,1064.340611,1001.820961,1101.786026
10,1.95E+06,1.97345,1.81714,2.32837,279.471,257.035,329.547,13824,13888,14145,14173,303,228.5714286,28,998.1107143,917.9821429,1176.953571
11,2.15E+06,1.96469,1.72192,2.22682,279.035,244.451,316.304,13888,13952,14180.8,14218,279.4,172.0430108,37.2,750.094086,657.1263441,850.2795699
12,2.34E+06,1.94907,1.70281,2.25937,276.799,241.691,321.034,13888,13952,14155.9,14226.1,271,91.16809117,70.2,394.3005698,344.2891738,457.3133903
