subband index,frequency (Hz),Avg Error %,Min Error %,Max Error %,Avg Error,Min Error,Max Error,Min Out,Max Out,Min Ref,Max Ref,Shift,Range Size %,Ref Range,Avg Err/Range,Min Err/Range,Max Err/Range
32,6.25E+06,0.912183,0.471035,1.11079,110.825,57.2461,135.151,12032,12096,12123.6,12171.6,83.6,133.3333333,48,230.8854167,119.2627083,281.5645833
33,6.45E+06,0.789706,0.236705,1.3075,97.346,31.585,174.432,11968,13504,12092,13599.7,109.85,101.8770312,1507.7,6.456589507,2.094912781,11.56941036
34,6.64E+06,0.895776,0.722342,1.08147,107.604,86.6133,130.146,11904,11904,11990.6,12034.1,108.35,0,43.5,247.3655172,199.1110345,299.1862069
35,6.84E+06,0.787594,0.186548,1.47199,97.1375,22.9658,198.879,11904,13888,12001.6,14044.5,127.05,97.1168437,2042.9,4.754882765,1.124176416,9.735131431
36,7.03E+06,0.791839,0.000570356,1.82339,114.941,0.0751953,370.486,12480,20992,12606.7,21243.2,188.95,98.55844381,8636.5,1.330874776,0.0008706686737,4.289770162
37,7.23E+06,0.733266,0.0102668,1.81298,96.0664,1.26172,280.899,11968,16256,12060.1,16443.6,139.85,97.82137561,4383.5,2.191545569,0.02878339227,6.408098551
38,7.42E+06,0.826497,0.132354,1.33909,101.48,16.2852,185.584,11776,14400,11914.5,14546.9,142.7,99.68089956,2632.4,3.855037228,0.6186445829,7.049992402
39,7.62E+06,1.67693,0.000495908,7.65539,341.94,0.0761719,4275.12,13824,78848,14153,82377.2,1929.1,95.30928908,68224.2,0.5012004538,0.0001116493854,6.26628088
40,7.81E+06,1.91369,0.00150621,8.89692,860.328,0.298828,9602.5,18944,184320,19536.5,191070,3671.25,96.41032218,171533.5,0.501551009,0.0001742097025,5.598031871
41,8.01E+06,7.07971,0.000520183,86.8588,36494.1,0.9375,738883,32768,1.19E+07,138986,1.25E+07,348809,9.61E+01,12380014,0.2947823807,0.000007572689336,5.968353509
42,8.20E+06,1.85166,0.00168241,6.75355,2169.62,1.78125,19362.6,43008,356352,43366.8,367367,5686.9,96.71105141,324000.2,0.6696353891,0.0005497681792,5.976107422
43,8.40E+06,3.03932,0.000953665,22.3147,10579.4,2.84375,146180,107008,2.10E+06,111284,2.20E+06,55448,9.51E+01,2092486,0.5055900016,0.0001359029403,6.985948771
44,8.59E+06,3.36854,0.000398721,17.9688,35211.2,3.25,515828,296960,7.44E+06,329601,7.82E+06,205535.5,9.54E+01,7487169,0.4702872341,0.00004340759505,6.889493212
45,8.79E+06,4.43276,0.000227651,52.7845,24369.7,0.578125,410980,83968,5.51E+06,153023,5.82E+06,192922.5,9.56E+01,5668787,0.4298926737,0.00001019838988,7.249875502
46,8.98E+06,4.63863,0.00017835,35.5218,28012.6,3.03125,472778,183296,6.36E+06,227578,6.68E+06,183821,9.57E+01,6452772,0.4341173065,0.0000469759353,7.326742677
47,9.18E+06,7.73086,0.00262948,119.881,3.12E+06,355,5.65E+07,1.44E+06,6.17E+08,9.84E+06,6.56E+08,2.40E+07,9.52E+01,646352420,4.82E-01,0.00005492359725,8.74E+00
48,9.38E+06,6.53526,0.000887611,65.1251,1.75E+06,178,3.24E+07,5.01E+06,3.82E+08,6.23E+06,4.02E+08,1.09E+07,9.51E+01,396087180,4.42E-01,0.00004493960143,8.18E+00
49,9.57E+06,2.06031,0.000267807,10.3097,5379.73,0.671875,39808.9,152576,602112,155528,638904,19872,92.99923869,483376,1.11294934,0.0001389963507,8.235597133
50,9.77E+06,5.30347,0.000164177,71.9785,49153.7,1.0625,1.17E+06,120832,1.09E+07,328977,1.18E+07,506972.5,9.48E+01,11421323,0.4303678304,0.000009302775169,1.03E+01
51,9.96E+06,4.21783,0.000370182,44.0598,61784.2,2.5625,1.10E+06,348160,1.10E+07,396608,1.18E+07,432024,9.33E+01,11428992,0.5405918562,0.00002242104991,9.65E+00
52,1.02E+07,5.15836,0.00124843,71.3289,1.85E+06,203,3.04E+07,5.01E+06,3.19E+08,9.79E+06,3.40E+08,1.30E+07,9.50E+01,330113090,5.62E-01,0.00006149407768,9.21E+00
53,1.04E+07,6.77156,4.14E-05,58.4017,1.91E+06,12,2.64E+07,4.65E+06,2.37E+08,7.48E+06,2.58E+08,1.20E+07,9.27E+01,250606790,7.61E-01,0.000004788377841,1.05E+01
54,1.05E+07,1.99663,0.000110426,7.32016,6480.94,0.34375,43998.1,224256,581632,226018,610564,15347,92.93452539,384546,1.685348437,0.00008939112616,11.44157006
55,1.07E+07,3.07014,0.000562169,27.6306,15520.9,1.75,282410,219136,2.49E+06,266476,2.71E+06,135650,9.28E+01,2447854,0.6340615086,0.00007149119188,11.53704428
56,1.09E+07,2.53203,0.000108991,9.88324,12582.5,0.375,120604,268288,1.27E+06,278421,1.37E+06,55911.5,9.16E+01,1093029,1.151158844,0.00003430833034,11.03392499
57,1.11E+07,10.008,0.000525726,146.733,6.75E+06,164,1.59E+08,-1.34E+07,1.29E+09,1.59E+07,1.42E+09,7.75E+07,9.31E+01,1401649900,4.81E-01,0.00001170049668,1.14E+01
