kernel,vsize,work,calls/pixel,exec time,data(bytes)
main cos,128,13824,2,4358.47,18432
main sin,128,13824,2,4537.68,18432
add,256,4608,4,596.78,18432
mean,256,4608,1,605.27,9216
scale,256,4608,6,353.45,18432
sub,256,4608,1,595.05,9216
main (w/o LUT),128,9216,2,736.18,18432
